EventTime,Type,Open,High,Low,Close,Return,Sigma,H
12/5/2012 5:23,UP,1.30843,1.31247,1.30843,1.31209,0.000930247,0.000450589,0.002252943
12/5/2012 11:04,DOWN,1.31204,1.31267,1.30881,1.30928,-0.000732959,0.000432216,0.00216108
12/5/2012 14:23,DOWN,1.30927,1.30965,1.30604,1.30669,-0.000191305,0.000410865,0.002054325
12/6/2012 2:13,DOWN,1.30671,1.30906,1.30477,1.30504,-0.000972677,0.000454591,0.002272956
12/6/2012 10:53,UP,1.30504,1.30811,1.3042,1.30799,0.000703617,0.000493602,0.002468009
12/6/2012 14:58,DOWN,1.30802,1.30861,1.30263,1.30347,-0.001272714,0.000684859,0.003424293
12/6/2012 16:16,DOWN,1.30347,1.30392,1.2977,1.29838,-0.001016135,0.000692067,0.003460337
12/7/2012 7:25,DOWN,1.29838,1.29922,1.29504,1.29554,-0.000640454,0.00048794,0.002439702
12/7/2012 12:24,DOWN,1.29552,1.29644,1.29151,1.29203,-0.000309542,0.00051242,0.002562098
12/7/2012 14:42,DOWN,1.29199,1.29341,1.28772,1.28852,-0.001178953,0.00067809,0.003390452
12/7/2012 16:50,UP,1.28857,1.29405,1.28836,1.29367,0.001640093,0.000738343,0.003691716
12/10/2012 5:28,DOWN,1.29369,1.2952,1.28871,1.28949,-0.000527201,0.000800714,0.004003571
12/10/2012 14:10,UP,1.28948,1.29337,1.28859,1.2932,0.00106769,0.000576777,0.002883886
12/11/2012 10:37,UP,1.29322,1.29649,1.29225,1.29581,0.000362773,0.000482025,0.002410125
12/11/2012 12:51,UP,1.29583,1.29956,1.29557,1.29924,0.000654443,0.000522308,0.00261154
12/11/2012 19:49,UP,1.2992,1.30152,1.29822,1.30131,0.000484245,0.000424523,0.002122617
12/12/2012 11:54,UP,1.30131,1.30311,1.29958,1.30311,0.000621783,0.000419333,0.002096666
12/12/2012 18:49,UP,1.30305,1.30908,1.30246,1.30884,0.00149098,0.000842242,0.004211211
12/13/2012 11:15,DOWN,1.30881,1.31007,1.30465,1.30509,-0.001018568,0.000719165,0.003595825
12/13/2012 16:17,UP,1.3051,1.30892,1.3041,1.30887,0.000810187,0.0006738,0.003369
12/14/2012 6:48,UP,1.30884,1.31003,1.30596,1.30997,0.000809506,0.000525915,0.002629577
12/14/2012 11:33,DOWN,1.30998,1.31198,1.30681,1.30727,-0.000787591,0.000499561,0.002497806
12/14/2012 17:11,UP,1.3073,1.31363,1.30665,1.31295,0.001570218,0.000706713,0.003533567
12/16/2012 23:14,UP,1.31299,1.31885,1.31292,1.31818,0.001951561,0.000790646,0.003953232
12/17/2012 15:31,DOWN,1.31812,1.31873,1.31441,1.31559,-0.000372387,0.000410575,0.002052877
12/18/2012 11:23,UP,1.31558,1.3187,1.31528,1.31846,0.000447592,0.000359168,0.001795841
12/18/2012 16:51,UP,1.31846,1.32106,1.31716,1.32081,0.000590721,0.000420576,0.002102878
12/18/2012 19:10,UP,1.32078,1.32386,1.32044,1.32376,0.00061964,0.000443976,0.00221988
12/19/2012 3:56,UP,1.32373,1.32564,1.32172,1.32546,0.001185197,0.000497565,0.002487826
12/19/2012 10:36,UP,1.32546,1.32689,1.32289,1.32667,0.001138836,0.000499531,0.002497653
12/19/2012 13:55,UP,1.32664,1.33008,1.32658,1.32988,0.000398612,0.000479666,0.002398329
12/19/2012 16:28,DOWN,1.32993,1.33086,1.3259,1.32658,-0.000369303,0.000496833,0.002484167
12/19/2012 22:45,DOWN,1.32657,1.32703,1.32318,1.32318,-0.000702605,0.000471098,0.002355488
12/20/2012 11:09,UP,1.32316,1.32362,1.31885,1.32362,0.000657504,0.000563874,0.002819371
12/20/2012 14:50,UP,1.32364,1.32898,1.3234,1.3288,0.001770079,0.00067421,0.003371049
12/20/2012 16:21,DOWN,1.3288,1.32954,1.32369,1.3244,-0.000520855,0.000656662,0.00328331
12/21/2012 2:15,DOWN,1.32437,1.32529,1.32041,1.32079,-0.000507144,0.000571851,0.002859254
